Comment ID,no.,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
1.81E+18,62,"Minne, Zena and Vera are mean and vile women, we don’t need them on our screens anymore. I’ve lost the like I had for Minne from season 1. Disgusting behaviour!!  #RHONairobi","Interpersonal Conflict, Bullying, and Aggression (62)",Negative (62),The emotion expressed in this comment is disgust and rejection. (62),Condemning / Final (62),1 (62),RHONairobi cast removal sentiment (62),3 (62),– (62),Vile behavior and bullying fatigue (62),1 (62),4 (62),Audience fatigue with toxic femininity (62),3 (62),3 (62),1 (62),0 (62),0 (62),– (62),– (62),1 (62),“mean and vile women” (62),3 (62),3 (62),0 (62),– (62),1 (62),Reinforced belief that problematic cast members have overstayed their relevance (62),0 (62),– (62),0 [62],– (62),1 (62),Advocates removing mean/vile cast members from screens (62),0 (62),– (62),0 (62),,,,,,,,,
1.81E+18,63,Okay so do we all catch these racist comments Minne keeps making about Dr. C's husband...remind me why y'all hyped this woman up in Season 1?!!!  #RHONairobi,"Race, Culture, and National Representation (63)",Negative (63),The emotion expressed in this comment is anger and racial outrage. (63),Critical / Accusatory (63),1 (63),RHONairobi racist comments allegation (63),3 (63),– (63),Racist remarks toward a husband (63),1 (63),"6,8 (63)",Racism intersecting with gendered attacks (63),3 (63),3 (63),1 (63),0 (63),1 (63),Race / racism toward Dr. C’s husband (63),3 (63),1 (63),“racist comments” (63),2 (63),2 (63),1 (63),Learned that racist comments toward Dr C’s husband were repeatedly made (63),1 (63),Reinforced belief that racist remarks are repeatedly ignored (63),0 (63),– (63),1 [63],Shares claim about repeated racist comments toward a cast member’s husband (63),1 (63),Advocates accountability for racist remarks (63),0 (63),– (63),0 (63),,,,,,,,,
1.81E+18,64,"@iAmWayneSam @ShowmaxKenya What did they carry??Being unhinged every episode?💀 Zena has been angry &amp; bitter EVERY EPISODE,the only time she’s happy is around Minnie’s husband lmao. Reja has serious mental issues &amp; it’s painful to witness on screen. They need Baddies West NOT #RHONairobi @ShowmaxKenya","Production, Casting, and Franchise Critique (64)",Negative (64),The emotion expressed in this comment is disgust and concern. (64),Derisive / Provocative (64),1 (64),RHONairobi cast behavior critique (64),3 (64),– (64),Unhinged behavior and mental instability portrayal (64),1 (64),3 (64),Mental health stigmatization of women (64),3 (64),3 (64),1 (64),1 (64),0 (64),– (64),– (64),1 (64),“mental issues” (64),1 (64),1 (64),0 (64),– (64),1 (64),Reinforced belief that emotional instability is being sensationalized (64),0 (64),– (64),0 [64],– (64),1 (64),Advocates replacing the show format with a different franchise (64),0 (64),– (64),0 (64),,,,,,,,,
1.81E+18,65,"Negativity or prioritizing wealth and fame over others well being is what defines a ""nobody"". Whether it's the privileged who perpetuate harmful systems or the poor who justify resentment towards those who have more, the result is the same #rhonairobi. https://t.co/EX8TM7zzAU","Morality, Hypocrisy, and Authenticity (65)",Neutral (65),The emotion expressed in this comment is neutrality and reflection. (65),Philosophical / Reflective (65),0 (65),– (65),– (65),– (65),– (65),0 (65),– (65),Moral philosophy and social inequality (65),4 (65),4 (65),1 (65),3 (65),0 (65),– (65),– (65),0 (65),– (65),10 (65),10 (65),0 (65),– (65),1 (65),Reinforced belief that wealth-based resentment fuels conflict narratives (65),0 (65),– (65),1 [65],Shares a general social commentary about wealth and resentment (65),0 (65),– (65),0 (65),– (65),0 (65),,,,,,,,,
1.81E+18,66,.@ShowmaxKenya @ShowmaxOnline Honestly there is nothing cute about seeing grown women fight or get physical and production fails to address it!!! The show is beyond vile and toxic! The 4 girls ARE BULLIES…#RHONairobi @Rhonairobiquote,"Production, Casting, and Franchise Critique (66)",Negative (66),The emotion expressed in this comment is anger and condemnation. (66),Outraged / Critical (66),1 (66),RHONairobi production accountability (66),3 (66),– (66),Production ignoring violence and bullying (66),1 (66),7 (66),Production complicity in gendered violence (66),3 (66),3 (66),1 (66),0 (66),0 (66),– (66),– (66),1 (66),“vile and toxic… bullies” (66),2 (66),2 (66),0 (66),– (66),1 (66),Reinforced belief that production enables toxic dynamics (66),0 (66),– (66),0 [66],– (66),1 (66),Advocates production accountability for unchecked violence (66),0 (66),– (66),0 (66),,,,,,,,,
1.81E+18,67,"#RHONairobi This Show lost it when they brought a fake nyash Whore, Child  kidnapper/killer, and that mentally disturbed soldier to the show. We want real Housewives, not these things abeg https://t.co/iC3EY4V3pD","Gender Norms, Respectability, and Womanhood (67)",Negative (67),The emotion expressed in this comment is disgust and hostility. (67),Extreme / Dehumanizing (67),1 (67),RHONairobi casting outrage (67),3 (67),– (67),Extreme casting choices and dehumanization (67),1 (67),5 (67),Extreme dehumanization of women (67),3 (67),3 (67),1 (67),1 (67),0 (67),– (67),– (67),1 (67),“fake nyash Whore… mentally disturbed” (67),3 (67),3 (67),0 (67),– (67),1 (67),Reinforced belief that criminal accusations are used irresponsibly (67),0 (67),– (67),1 [67],Shares allegations of criminal behavior tied to casting choices (67),1 (67),Advocates removing cast accused of extreme misconduct (67),0 (67),– (67),0 (67),,,,,,,,,
1.81E+18,68,"These women have no shame ….. mnxxxxx  Minnie, Vera and Zena ….. I have lost my understanding of what shady means. No 👸🏽 today just villains 🤮 …. Shooooo coffins ⚰️ broken glass everywhere …. Just hysteria and ratchetness 🚮 #RHONairobi","Gender Norms, Respectability, and Womanhood (68)",Negative (68),The emotion expressed in this comment is disgust and moral panic. (68),Disgusted / Alarmist (68),1 (68),RHONairobi violent symbolism (68),3 (68),– (68),"Hysteria, vulgarity, and lack of dignity (68)",1 (68),4 (68),Loss of dignity and respectability narratives (68),3 (68),3 (68),1 (68),1 (68),0 (68),– (68),– (68),1 (68),“villains… hysteria and ratchetness” (68),3 (68),3 (68),0 (68),– (68),1 (68),Reinforced belief that chaos has replaced storytelling (68),0 (68),– (68),0 [68],– (68),0 (68),– (68),0 (68),– (68),0 (68),,,,,,,,,
1.81E+18,69,"Can someone start a petition for us we don't want Zena and Minne on our screens next season . @ShowmaxOnline @ShowmaxKenya do something those violent women don't deserve our time. 

Other long live the Queen Dr C

#RHONairobi","Production, Casting, and Franchise Critique (69)",Negative (69),The emotion expressed in this comment is anger and advocacy. (69),Activist / Demanding (69),1 (69),RHONairobi petition / cast removal (69),3 (69),– (69),Violent cast members and toxic atmosphere (69),1 (69),3 (69),Collective punishment and exclusion of women (69),3 (69),3 (69),1 (69),0 (69),0 (69),– (69),– (69),0 (69),– (69),10 (69),10 (69),0 (69),– (69),1 (69),– (69),1 (69),Calls for viewers to petition against cast members (69),1 [69],Shares a call for a petition and tags platforms (69),1 (69),Advocates starting a petition to remove specific cast members (69),0 (69),– (69),0 (69),,,,,,,,,
1.81E+18,70,"@ShowmaxKenya I don't think any one of us appreciated the disrespect at the event. There is a thin line between entertainment &amp; ugly behaviour. How uncouth. 
Center the show around Dr C, Lisa and her friends. We want opulent fun lives, not social media slay queens.
#RHONairobi","Production, Casting, and Franchise Critique (70)",Negative (70),The emotion expressed in this comment is disappointment and critique. (70),Critical / Prescriptive (70),1 (70),RHONairobi desired show direction (70),3 (70),– (70),Ugly behavior over opulent entertainment (70),1 (70),3 (70),"Desire for aspirational, elite femininity (70)",3 (70),3 (70),1 (70),0 (70),0 (70),– (70),– (70),1 (70),“uncouth… ugly behaviour” (70),5 (70),5 (70),0 (70),– (70),1 (70),Reinforced belief that viewers desire opulence rather than hostility (70),1 (70),Calls for producers to refocus the show on specific cast and themes (70),0 [70],– (70),1 (70),Advocates centering the show on opulence rather than conflict (70),0 (70),– (70),0 (70),,,,,,,,,
1.81E+18,71,"Minne is a clown ! That make is horrible and is her husband a housewife now? Her husbands cheap American accent, irks me out 😭. #RHONairobi","Gender Norms, Respectability, and Womanhood (71)",Negative (71),The emotion expressed in this comment is contempt and mockery. (71),Mocking / Insulting (71),1 (71),RHONairobi appearance / husband screen time (71),3 (71),– (71),Mockery of appearance and gender roles (71),1 (71),"4,8 (71)",Gender role mockery within marriage (71),3 (71),3 (71),2 (71),1 (71),0 (71),– (71),– (71),1 (71),“is her husband a housewife now?” (71),1 (71),1 (71),0 (71),– (71),1 (71),Reinforced belief that gender roles are mocked through spousal insults (71),0 (71),– (71),0 [71],– (71),0 (71),– (71),0 (71),– (71),0 (71),,,,,,,,,
1.81E+18,72,"I hate how Vera pretends to like Dr C but talk badly about her when she is with those evil women, i mean she put you on and you shade like this. Poor Farah her beautiful event ruined by a mad, classless woman who cant control her emotions. Zena is ratchet not a lady. #RHONairobi","Gender Norms, Respectability, and Womanhood (72)",Negative (72),The emotion expressed in this comment is anger and betrayal. (72),Angry / Condemning (72),1 (72),RHONairobi backstabbing narrative (72),3 (72),– (72),Two-faced behavior and ruining events (72),1 (72),4 (72),Female betrayal and social climbing (72),3 (72),3 (72),2 (72),1 (72),0 (72),– (72),– (72),1 (72),“ratchet not a lady” (72),2 (72),2 (72),0 (72),– (72),1 (72),Reinforced belief that betrayal among women is routine (72),0 (72),– (72),0 [72],– (72),0 (72),– (72),0 (72),– (72),0 (72),,,,,,,,,
1.81E+18,73,"Production needs to Gove Dr. C her flowers. She's the show and the show is her. Without her, all these other women would give absolutely nothing.
#RHONairobi","Positive Identification, Praise, and Aspiration (73)",Positive (73),The emotion expressed in this comment is admiration and praise. (73),Appreciative / Praising (73),1 (73),RHONairobi production praise (Dr C) (73),1 (73),Dr C’s importance to the show and production value (73),– (73),1 (73),6 (73),Recognition of women’s labor in entertainment (73),1 (73),1 (73),1 (73),0 (73),0 (73),– (73),– (73),0 (73),– (73),9 (73),9 (73),0 (73),– (73),1 (73),Reinforced belief that Dr. C is disproportionately carrying the show (73),0 (73),– (73),0 [73],– (73),1 (73),Advocates giving Dr. C recognition and credit (73),0 (73),– (73),0 (73),,,,,,,,,
1.81E+18,74,I don’t know who told these women that displaying how angry they can get will earn them respect… because it’s all just lack of self control. #RHONairobi https://t.co/VHS192QupH,"Gender Norms, Respectability, and Womanhood (74)",Negative (74),The emotion expressed in this comment is disapproval and frustration. (74),Critical / Moralizing (74),1 (74),RHONairobi anger portrayal critique (74),3 (74),– (74),Anger glorification and lack of self-control (74),1 (74),3 (74),Anger as failed route to respect (74),3 (74),3 (74),1 (74),0 (74),0 (74),– (74),– (74),0 (74),– (74),1 (74),1 (74),0 (74),– (74),1 (74),Reinforced belief that anger is mistaken for strength (74),0 (74),– (74),1 [74],Shares a link reinforcing criticism of anger and behavior (74),0 (74),– (74),0 (74),– (74),0 (74),,,,,,,,,
1.81E+18,75,"Fuck Zena for the disrespect to Farah, Fuck Vera for being double sided , fuck Minne for racial comments to Dr C’s husband and Farah! #RHONairobi","Race, Culture, and National Representation (75)",Negative (75),The emotion expressed in this comment is anger and outrage. (75),Profane / Aggressive (75),1 (75),RHONairobi racial comments & disrespect (75),3 (75),– (75),Racial insults and extreme disrespect (75),1 (75),"6,7 (75)",Intersection of racism and misogyny (75),3 (75),3 (75),1 (75),0 (75),0 (75),– (75),– (75),1 (75),“Fuck Zena… fuck Minne” (75),2 (75),2 (75),0 (75),– (75),1 (75),Reinforced belief that racial insults are tolerated by production (75),0 (75),– (75),0 [75],– (75),0 (75),– (75),0 (75),– (75),0 (75),,,,,,,,,
1.81E+18,76,"Dr C confidently tells off Zena that the women she has allegedly been killing will get buried in the casket she gifted her. 😂😂
#RHONairobi","Interpersonal Conflict, Bullying, and Aggression (76)",Neutral (76),The emotion expressed in this comment is amusement and shock. (76),Sarcastic / Amused (76),1 (76),RHONairobi coffin incident (76),4 (76),– (76),– (76),1 (76),– (76),Dark humor and symbolic threats (76),4 (76),4 (76),2 (76),3 (76),0 (76),– (76),– (76),0 (76),– (76),1 (76),1 (76),0 (76),– (76),1 (76),Reinforced belief that intimidation tactics are celebrated (76),0 (76),– (76),0 [76],– (76),0 (76),– (76),0 (76),– (76),0 (76),,,,,,,,,
1.81E+18,77,"@ShowmaxKenya
These violent women should be taken out of the cast.

Zena, Minne &amp; Rejah must not return next season.

Attacking people physically over the slightest things is not what civilized people do.

The other ladies do not need to feel threatened on this show.

#RHONairobi","Production, Casting, and Franchise Critique (77)",Negative (77),The emotion expressed in this comment is anger and moral condemnation. (77),Directive / Moralizing (77),1 (77),RHONairobi cast removal demand (77),3 (77),– (77),Physical violence and threatening behavior (77),1 (77),7 (77),Calls for removal of violent women (77),3 (77),3 (77),1 (77),0 (77),0 (77),– (77),– (77),0 (77),– (77),2 (77),2 (77),0 (77),– (77),1 (77),Reinforced belief that physical violence is unacceptable but recurring (77),1 (77),Calls for removal of violent cast members (77),0 [77],– (77),1 (77),Advocates removing violent cast members next season (77),0 (77),– (77),0 (77),,,,,,,,,
1.81E+18,78,"Minnie is racist AF. The dairy comments she makes about Dr C husband, while she wants no one to talk about her husband. And very hands on for a pregnant woman throwing things at Dr C &amp; if tables were to be turned... Ho ho ho ho
#RHONairobi https://t.co/YVPnUs09mZ","Race, Culture, and National Representation (78)",Negative (78),The emotion expressed in this comment is anger and disgust. (78),Accusatory / Outraged (78),1 (78),RHONairobi racism accusation (Minne) (78),3 (78),– (78),Racist comments and hypocrisy (78),1 (78),"6,8 (78)",Racialized masculinity and marital hypocrisy (78),3 (78),3 (78),1 (78),0 (78),0 (78),– (78),– (78),1 (78),“racist AF… dairy comments” (78),2 (78),2 (78),0 (78),– (78),1 (78),Reinforced belief that racist double standards persist (78),0 (78),– (78),1 [78],Shares a link highlighting alleged racist remarks (78),1 (78),Advocates calling out racism and hypocrisy (78),0 (78),– (78),0 (78),,,,,,,,,
1.81E+18,79,"These women really think that this is what Real Housewives is about? The alliances, planning take downs behind the scenes, accusations about real life crimes, bullying?? #RHONairobi https://t.co/K5w9He8m61","Production, Casting, and Franchise Critique (79)",Negative (79),The emotion expressed in this comment is disappointment and critique. (79),Critical / Disillusioned (79),1 (79),RHONairobi franchise identity critique (79),3 (79),– (79),"Bullying, crime accusations, and fake drama (79)",1 (79),3 (79),Rejection of toxic reality-TV femininity (79),3 (79),3 (79),1 (79),0 (79),0 (79),– (79),– (79),0 (79),– (79),1 (79),1 (79),0 (79),– (79),1 (79),Reinforced belief that the franchise’s original premise is being lost (79),0 (79),– (79),1 [79],Shares link criticizing alliances and bullying (79),1 (79),Advocates rejecting bullying-driven narratives (79),0 (79),– (79),0 (79),,,,,,,,,
1.81E+18,80,I don’t think Dr C meant that she killed literally 😭 but yay it struck a nerve so something is up . It’s really a mafia world because she’s kidnapped kids and now killed women ? #RHONairobi https://t.co/P8euW46ibL,"Production, Casting, and Franchise Critique (80)",Neutral (80),The emotion expressed in this comment is confusion and unease. (80),Speculative / Skeptical (80),1 (80),RHONairobi crime accusation discourse (80),4 (80),– (80),Crime insinuations and disturbing narratives (80),1 (80),5 (80),Crime metaphors applied to women (80),3 (80),3 (80),2 (80),3 (80),0 (80),– (80),– (80),0 (80),– (80),2 (80),2 (80),0 (80),– (80),1 (80),Reinforced belief that criminal metaphors are exaggerated but intentional (80),0 (80),– (80),1 [80],Shares speculation about criminal metaphors and kidnapping references (80),0 (80),– (80),1 (80),"Clarifies that Dr. C’s “killing” statement was likely metaphorical, not literal (80)",0 (80),,,,,,,,,
1.81E+18,81,Like this is not housewives vibes. Apart from Dr C… this is REAL GHETTO WOMEN SHOW…. No iota of class among the lots aside Farah and Dr C…. Jeeezzz am I dreaming?  #RHONairobi,"Gender Norms, Respectability, and Womanhood (81)",Negative (81),The emotion expressed in this comment is disgust and contempt. (81),Dismissive / Alarmist (81),1 (81),RHONairobi class & respectability critique (81),3 (81),– (81),Low-class behavior harming franchise identity (81),1 (81),3 (81),Classed femininity vs “ghetto” labeling (81),3 (81),3 (81),1 (81),1 (81),0 (81),– (81),– (81),1 (81),“REAL GHETTO WOMEN SHOW” (81),1 (81),1 (81),0 (81),– (81),1 (81),Reinforced belief that classist narratives dominate viewer frustration (81),0 (81),– (81),0 [81],– (81),0 (81),– (81),0 (81),– (81),0 (81),,,,,,,,,
1.81E+18,82,Yooooo… this show is evil…. Get Zena and Rejah out of here. These women are ticking time bomb and belong to the mental home… #RHONairobi,"Interpersonal Conflict, Bullying, and Aggression (82)",Negative (82),The emotion expressed in this comment is fear and alarm. (82),Alarmist / Fearful (82),1 (82),RHONairobi cast instability (82),3 (82),– (82),"Dangerous, unstable cast members (82)",1 (82),7 (82),Pathologizing women as dangerous (82),3 (82),3 (82),1 (82),1 (82),0 (82),– (82),– (82),1 (82),“belong to the mental home” (82),2 (82),2 (82),0 (82),– (82),1 (82),Reinforced belief that some cast members are psychologically unfit for the show (82),1 (82),Calls for producers to remove specific women from the show (82),0 [82],– (82),1 (82),Advocates removing unstable/violent cast members (82),0 (82),– (82),0 (82),,,,,,,,,
1.81E+18,83,"Charles was weirded out that his wife has a wife called Xenah , now he is mentoring her kids and being the father figure? 😭 #rhonairobi https://t.co/3bpxmJF1Nc","Gender Norms, Respectability, and Womanhood (83)",Neutral (83),The emotion expressed in this comment is surprise and confusion. (83),Incredulous / Mocking (83),1 (83),RHONairobi unconventional relationship storyline (83),2 (83),– (83),– (83),1 (83),"4,6 (83)",Non-traditional family structures (83),4 (83),4 (83),2 (83),3 (83),0 (83),– (83),– (83),0 (83),– (83),6 (83),6 (83),1 (83),Learned about an unconventional relationship dynamic involving Charles and Xenah (83),1 (83),Reinforced belief that unconventional family dynamics are normalized for drama (83),0 (83),– (83),1 [83],Shares information about an unconventional family/relationship dynamic (83),0 (83),– (83),0 (83),– (83),0 (83),,,,,,,,,
1.81E+18,84,"I’m not sure I appreciate how Dr. C riles up these women, takes them to the bottomest ghetto and then pats herself on the back for all the chaos she’s caused. She enjoys it. They need to stop giving it to her 😬#RHONairobi","Production, Casting, and Franchise Critique (84)",Negative (84),The emotion expressed in this comment is disapproval and skepticism. (84),Critical / Disapproving (84),1 (84),RHONairobi provocation dynamics (Dr C) (84),4 (84),– (84),Manipulative provocation for chaos (84),1 (84),3 (84),Manipulation and chaos as feminine strategy (84),3 (84),3 (84),2 (84),0 (84),0 (84),– (84),– (84),0 (84),– (84),6 (84),6 (84),0 (84),– (84),1 (84),Reinforced belief that provocation is rewarded rather than discouraged (84),0 (84),– (84),0 [84],– (84),1 (84),Advocates reducing platforming of provocation-driven behavior (84),0 (84),– (84),0 (84),,,,,,,,,
1.81E+18,85,"Farah seems to respect Dr C like the Queen she's as she stood to greet her but she didn't stand to greet the other women.
#RHONairobi","Positive Identification, Praise, and Aspiration (85)",Positive (85),The emotion expressed in this comment is respect and admiration. (85),Respectful / Admirative (85),1 (85),"RHONairobi respect hierarchy (Farah, Dr C) (85)",1 (85),Respectful gestures and hierarchy acknowledgment (85),– (85),1 (85),4 (85),Hierarchies of respect among women (85),2 (85),2 (85),2 (85),0 (85),0 (85),– (85),– (85),0 (85),– (85),9 (85),9 (85),0 (85),– (85),1 (85),Reinforced belief that hierarchy and respect rituals shape interactions (85),0 (85),– (85),0 [85],– (85),0 (85),– (85),0 (85),– (85),0 (85),,,,,,,,,
1.81E+18,86,"Next season brings classy women pr better yet bring back Sonel, Susan and Lisa Gosh😂😂😂 housewives please HOUSE FUCKEN WIVES not street fighters and baby soldiers! JEEEEZZZZ! #RHONairobi","Production, Casting, and Franchise Critique (86)",Negative (86),The emotion expressed in this comment is frustration and fatigue. (86),Exasperated / Demanding (86),1 (86),RHONairobi casting wishlist (86),3 (86),– (86),Street-fighter behavior instead of housewives (86),1 (86),3 (86),Longing for traditional “housewife” femininity (86),3 (86),3 (86),1 (86),1 (86),0 (86),– (86),– (86),1 (86),“street fighters and baby soldiers” (86),1 (86),1 (86),0 (86),– (86),1 (86),Reinforced belief that viewers want a return to earlier cast standards (86),1 (86),Calls for recasting and return to earlier seasons’ standards (86),0 [86],– (86),1 (86),Advocates recasting with more “classy” housewives (86),0 (86),– (86),0 (86),,,,,,,,,
1.81E+18,87,"@oloriilaalaa God bless you,it’s how they are all hyping that woman’s vileness,she doesn’t support anybody,she doesn’t stick to dress code but wails when people don’t come out for her,very disgusting woman.I don’t even care for any of the women because they all get for body too #RHONairobi","Morality, Hypocrisy, and Authenticity (87)",Negative (87),The emotion expressed in this comment is disgust and condemnation. (87),Cynical / Condemning (87),1 (87),RHONairobi moral hypocrisy critique (87),3 (87),– (87),Moral hypocrisy and constant vileness (87),1 (87),4 (87),Moral inconsistency and female hypocrisy (87),3 (87),3 (87),2 (87),1 (87),0 (87),– (87),– (87),1 (87),“very disgusting woman” (87),3 (87),3 (87),0 (87),– (87),1 (87),Reinforced belief that performative feminism lacks substance (87),0 (87),– (87),0 [87],– (87),0 (87),– (87),0 (87),– (87),0 (87),,,,,,,,,
1.81E+18,88,"Dr C, gossiping and hammering on this women getting them pissed and play pretense settlement only to stir up shit isn’t a show, proud of my #RHOL ladies cause they know how to show up and how to spice up, bringing a coffin to a restaurant what in the heck of tackiness #RHONairobi","Production, Casting, and Franchise Critique (88)",Negative (88),The emotion expressed in this comment is disgust and frustration. (88),Comparative / Critical (88),1 (88),RHONairobi production vs RHOL comparison (88),3 (88),– (88),Tackiness and extreme stunts (88),1 (88),3 (88),Tackiness vs elegance in feminine performance (88),3 (88),3 (88),2 (88),1 (88),0 (88),– (88),– (88),1 (88),“tackiness” (88),1 (88),1 (88),0 (88),– (88),1 (88),Reinforced belief that gossip is framed as entertainment (88),0 (88),– (88),0 [88],– (88),1 (88),"Advocates rejecting tasteless, excessive provocation (88)",0 (88),– (88),0 (88),,,,,,,,,
1.81E+18,89,why is minne’s husband getting soo much screen time. he’s cute &amp; all but enough now #RHONairobi https://t.co/kT5VVIC04c,"Gender Norms, Respectability, and Womanhood (89)",Neutral (89),The emotion expressed in this comment is annoyance and irritation. (89),Annoyed / Observational (89),1 (89),RHONairobi husband screen time (89),3 (89),– (89),Overexposure of husbands (89),1 (89),8 (89),Visibility of husbands vs women’s autonomy (89),2 (89),2 (89),2 (89),3 (89),0 (89),– (89),– (89),0 (89),– (89),6 (89),6 (89),0 (89),– (89),1 (89),Reinforced belief that male partners are over-featured (89),0 (89),– (89),1 [89],Shares link complaining about a husband’s screen time (89),0 (89),– (89),0 (89),– (89),0 (89),,,,,,,,,
1.81E+18,90,Minnie is a bully let me say Meaniii she’s mean and insecure . Body shames other women as well she cute but that behaviour is nasty and rotten #RHONairobi,"Gender Norms, Respectability, and Womanhood (90)",Negative (90),The emotion expressed in this comment is anger and disgust. (90),Condemning / Judgmental (90),1 (90),RHONairobi bullying behavior (90),3 (90),– (90),"Bullying, insecurity, and body shaming (90)",1 (90),4 (90),Insecurity and internalized misogyny (90),3 (90),3 (90),2 (90),1 (90),0 (90),– (90),– (90),1 (90),“bully… nasty and rotten” (90),2 (90),2 (90),0 (90),– (90),1 (90),Reinforced belief that body-shaming is persistent (90),0 (90),– (90),0 [90],– (90),0 (90),– (90),0 (90),– (90),0 (90),,,,,,,,,
1.81E+18,91,Y’all need to give Dr. C a chair to rest because as much as she has her theatrics girl is carrying the show on her back!!!! Cut her a big fat cheque #RHONairobi https://t.co/GJkLA0L6aN,"Positive Identification, Praise, and Aspiration (91)",Positive (91),The emotion expressed in this comment is pride and admiration. (91),Celebratory / Supportive (91),1 (91),RHONairobi cast praise (Dr C) (91),1 (91),Dr C’s contribution and entertainment labor (91),– (91),1 (91),6 (91),Recognition of emotional labor in drama creation (91),1 (91),1 (91),1 (91),0 (91),0 (91),– (91),– (91),0 (91),– (91),9 (91),9 (91),0 (91),– (91),1 (91),Reinforced belief that spectacle outweighs collective contribution (91),0 (91),– (91),1 [91],Shares link praising Dr. C’s role in the show (91),1 (91),Advocates compensating and rewarding Dr. C for carrying the show (91),0 (91),– (91),0 (91),,,,,,,,,
1.81E+18,92,"All these other women should be as open as Dr C when it comes to what they do for a living 
#RHONairobi","Gender Norms, Respectability, and Womanhood (92)",Neutral (92),The emotion expressed in this comment is approval and encouragement. (92),Normative / Prescriptive (92),1 (92),RHONairobi transparency norms (92),2 (92),– (92),– (92),1 (92),2 (92),Transparency around women’s work and income (92),2 (92),2 (92),2 (92),3 (92),0 (92),– (92),– (92),0 (92),– (92),10 (92),10 (92),0 (92),– (92),1 (92),Reinforced belief that transparency is unevenly demanded (92),0 (92),– (92),0 [92],– (92),0 (92),– (92),0 (92),– (92),0 (92),,,,,,,,,
1.81E+18,93,"I'm sorry but, Only Dr C and Ferra are worth watching.

The rest of these girls are tired and washed up!!

Charles is more of a housewife than Minne

#RHONairobi","Production, Casting, and Franchise Critique (93)",Negative (93),The emotion expressed in this comment is disappointment and dismissal. (93),Dismissive / Derogatory (93),1 (93),RHONairobi cast evaluation (93),3 (93),– (93),Weak cast members and lack of substance (93),1 (93),"4,8 (93)",Male domestic role reversal (93),3 (93),3 (93),2 (93),1 (93),0 (93),– (93),– (93),1 (93),“tired and washed up” (93),1 (93),1 (93),0 (93),– (93),1 (93),Reinforced belief that few cast members are genuinely compelling (93),0 (93),– (93),0 [93],– (93),0 (93),– (93),0 (93),– (93),0 (93),,,,,,,,,
